"행정구역","2025년08월_계_총인구수","2025년08월_계_연령구간인구수","2025년08월_계_0세","2025년08월_계_1세","2025년08월_계_2세","2025년08월_계_3세","2025년08월_계_4세","2025년08월_계_5세","2025년08월_계_6세","2025년08월_계_7세","2025년08월_계_8세","2025년08월_계_9세","2025년08월_계_10세","2025년08월_계_11세","2025년08월_계_12세","2025년08월_계_13세","2025년08월_계_14세","2025년08월_계_15세","2025년08월_계_16세","2025년08월_계_17세","2025년08월_계_18세","2025년08월_계_19세","2025년08월_계_20세","2025년08월_계_21세","2025년08월_계_22세","2025년08월_계_23세","2025년08월_계_24세","2025년08월_계_25세","2025년08월_계_26세","2025년08월_계_27세","2025년08월_계_28세","2025년08월_계_29세","2025년08월_계_30세","2025년08월_계_31세","2025년08월_계_32세","2025년08월_계_33세","2025년08월_계_34세","2025년08월_계_35세","2025년08월_계_36세","2025년08월_계_37세","2025년08월_계_38세","2025년08월_계_39세","2025년08월_계_40세","2025년08월_계_41세","2025년08월_계_42세","2025년08월_계_43세","2025년08월_계_44세","2025년08월_계_45세","2025년08월_계_46세","2025년08월_계_47세","2025년08월_계_48세","2025년08월_계_49세","2025년08월_계_50세","2025년08월_계_51세","2025년08월_계_52세","2025년08월_계_53세","2025년08월_계_54세","2025년08월_계_55세","2025년08월_계_56세","2025년08월_계_57세","2025년08월_계_58세","2025년08월_계_59세","2025년08월_계_60세","2025년08월_계_61세","2025년08월_계_62세","2025년08월_계_63세","2025년08월_계_64세","2025년08월_계_65세","2025년08월_계_66세","2025년08월_계_67세","2025년08월_계_68세","2025년08월_계_69세","2025년08월_계_70세","2025년08월_계_71세","2025년08월_계_72세","2025년08월_계_73세","2025년08월_계_74세","2025년08월_계_75세","2025년08월_계_76세","2025년08월_계_77세","2025년08월_계_78세","2025년08월_계_79세","2025년08월_계_80세","2025년08월_계_81세","2025년08월_계_82세","2025년08월_계_83세","2025년08월_계_84세","2025년08월_계_85세","2025년08월_계_86세","2025년08월_계_87세","2025년08월_계_88세","2025년08월_계_89세","2025년08월_계_90세","2025년08월_계_91세","2025년08월_계_92세","2025년08월_계_93세","2025년08월_계_94세","2025년08월_계_95세","2025년08월_계_96세","2025년08월_계_97세","2025년08월_계_98세","2025년08월_계_99세","2025년08월_계_100세 이상"
"전국  (0000000000)","51,154,981","51,154,981","245,712","234,346","242,461","256,628","273,348","290,132","316,176","343,920","379,052","428,754","445,899","440,734","460,003","482,324","490,300","455,535","454,156","484,780","473,850","442,538","443,431","482,644","481,292","513,759","590,964","630,242","619,493","650,166","674,648","693,123","696,749","708,956","720,703","719,074","663,637","647,682","629,241","611,933","618,397","637,369","644,520","688,658","762,314","825,256","833,884","836,813","782,744","746,787","750,676","745,188","798,244","870,033","879,490","877,123","934,879","885,669","924,292","874,492","821,523","812,095","819,582","749,530","842,988","794,947","928,154","876,488","782,875","723,824","707,095","644,052","660,215","531,410","488,907","506,806","377,474","408,912","402,995","391,807","376,903","261,085","284,931","270,076","287,536","291,044","228,332","199,412","184,600","155,898","133,616","112,575","92,978","71,314","54,459","42,051","28,814","22,673","17,196","11,619","7,710","4,376","8,891"
"서울특별시  (1100000000)","9,321,863","9,321,863","42,148","38,118","38,473","40,232","42,769","44,276","48,177","51,808","56,604","64,420","67,249","66,438","69,905","73,262","73,976","70,182","70,260","76,250","76,530","76,987","82,030","92,758","96,592","108,215","129,302","142,878","145,426","155,329","161,927","164,947","164,111","165,408","165,514","162,564","147,192","139,357","133,767","126,707","125,260","125,391","124,795","130,398","139,261","147,584","148,809","148,408","138,008","129,816","132,229","130,259","138,642","149,788","152,376","154,822","163,096","153,104","155,828","144,525","134,368","131,363","134,402","125,894","138,334","129,279","149,110","146,169","132,828","125,347","123,732","113,919","119,193","96,634","89,443","90,948","67,775","75,855","74,200","72,939","71,768","51,079","53,139","49,100","50,310","50,547","39,137","33,028","29,728","24,935","20,863","17,206","13,872","10,565","8,122","6,283","4,357","3,443","2,793","1,877","1,273","710","1,509"
"부산광역시  (2600000000)","3,249,975","3,249,975","13,531","12,830","13,499","14,643","15,363","16,519","18,074","20,515","22,601","25,839","26,574","26,317","26,807","28,041","28,187","25,497","25,086","26,682","25,932","24,897","26,114","29,415","30,299","32,020","36,740","38,329","36,050","37,705","39,014","39,925","40,009","41,109","42,018","42,156","38,663","38,579","37,108","35,790","35,949","36,967","38,046","41,246","46,061","50,289","52,485","52,672","48,444","45,548","44,708","43,865","48,066","52,140","52,933","53,340","56,654","54,577","56,888","54,508","52,082","51,705","50,930","48,292","56,563","55,049","64,979","62,250","56,988","54,117","54,347","50,766","52,474","42,491","39,949","40,640","32,041","33,511","32,884","31,809","29,120","19,444","22,123","20,657","21,657","20,479","16,471","14,006","12,397","9,975","8,368","6,840","5,540","4,166","3,007","2,392","1,601","1,164","1,004","700","444","255","435"
"대구광역시  (2700000000)","2,356,667","2,356,667","10,648","10,074","10,373","11,252","11,971","13,326","14,524","16,211","17,984","20,224","20,885","20,459","21,230","22,528","22,241","20,699","20,551","22,122","21,703","20,395","20,844","23,135","23,062","23,977","27,042","28,439","26,321","27,490","28,802","29,397","29,652","29,800","30,583","30,980","28,196","28,341","27,248","25,759","26,601","27,301","27,290","29,378","33,270","36,128","37,375","37,307","35,047","33,344","34,516","34,644","37,304","40,538","41,477","41,707","43,726","42,770","43,918","43,265","40,492","39,692","39,703","36,621","40,650","39,221","44,496","41,630","37,778","32,497","33,822","30,881","31,271","25,144","25,511","25,902","19,162","20,075","21,146","19,457","17,594","11,041","12,899","13,551","14,392","13,781","10,910","9,558","8,566","7,261","6,111","5,091","4,267","3,070","2,302","1,857","1,235","840","634","458","289","149","286"
"인천광역시  (2800000000)","3,043,162","3,043,162","16,444","15,632","15,884","16,781","17,364","18,592","20,318","20,968","23,127","25,917","27,080","26,218","27,596","28,602","29,600","26,989","26,943","28,353","28,043","25,811","25,415","27,861","28,036","30,047","34,370","37,314","36,956","39,164","41,116","42,211","43,166","44,894","46,611","47,061","43,738","42,075","41,030","39,341","39,347","41,130","41,133","43,605","48,293","51,925","52,534","52,399","48,292","46,110","45,458","44,371","48,343","51,501","52,417","52,314","55,213","52,681","54,872","52,033","48,883","48,970","50,646","46,527","52,287","48,440","54,829","52,131","45,845","42,164","39,913","35,503","35,980","28,072","25,450","25,977","18,068","20,655","20,196","19,621","19,427","13,441","13,855","12,924","13,792","13,629","10,551","9,125","8,736","7,334","6,147","5,422","4,375","3,391","2,741","2,101","1,434","1,182","938","612","421","245","543"
"광주광역시  (2900000000)","1,397,772","1,397,772","6,265","6,231","6,860","7,422","8,179","8,571","9,475","10,527","11,448","13,055","13,368","13,633","14,243","14,904","15,262","14,327","14,199","15,350","15,122","13,953","14,117","15,499","15,710","16,305","18,178","18,891","18,298","18,779","19,321","19,468","19,541","19,245","19,102","18,873","16,960","16,339","15,645","15,442","15,810","16,719","17,061","18,996","21,385","23,572","22,727","23,490","22,628","21,420","21,910","21,790","22,906","25,383","25,216","24,746","26,388","24,522","24,841","24,200","22,016","22,407","21,008","19,525","21,517","19,018","21,997","21,747","18,999","17,421","16,513","14,510","15,237","12,071","11,076","11,866","10,127","10,274","10,452","9,819","9,747","6,989","7,298","6,373","6,769","7,373","5,539","4,758","4,081","3,636","3,106","2,423","2,095","1,677","1,198","926","671","604","391","239","175","99","188"
"대전광역시  (3000000000)","1,441,596","1,441,596","7,399","7,166","7,616","7,678","8,032","8,092","8,989","9,763","11,077","12,146","12,853","12,663","13,340","13,665","14,326","13,170","13,188","14,314","14,413","14,017","14,560","16,386","16,479","17,813","19,804","20,739","20,283","20,810","21,742","21,698","21,617","21,415","21,381","21,124","19,377","18,679","17,732","17,406","17,269","17,634","17,650","18,597","20,605","22,436","22,911","22,644","21,765","21,113","21,470","21,105","22,483","24,914","25,127","24,500","26,391","24,838","26,774","24,743","22,316","21,008","22,286","19,451","21,702","21,333","25,240","23,248","20,227","18,702","18,630","17,132","17,389","14,052","12,310","12,805","9,516","10,746","10,221","9,676","8,955","6,356","7,011","6,791","6,875","7,194","5,326","4,519","4,406","3,737","3,154","2,640","2,221","1,736","1,297","1,024","694","556","410","279","181","102","221"
"울산광역시  (3100000000)","1,092,989","1,092,989","5,360","5,064","5,146","5,540","6,177","6,747","7,250","8,182","9,200","10,368","10,973","10,902","11,158","11,529","11,699","10,787","10,765","11,419","10,872","9,359","8,944","9,345","8,916","9,457","11,150","12,326","11,975","12,933","13,728","14,069","13,970","14,050","14,426","14,403","13,519","13,588","13,183","12,662","13,022","13,657","13,630","15,028","16,962","18,603","18,862","19,267","17,680","16,938","16,718","16,180","17,636","18,941","19,300","19,621","20,982","20,363","21,705","21,012","20,288","20,361","19,909","17,767","19,545","18,311","21,515","19,065","17,259","15,712","15,026","13,464","13,469","10,844","9,953","9,752","7,672","7,405","7,223","6,846","5,994","3,823","4,369","4,043","4,510","4,022","3,056","2,755","2,389","1,961","1,657","1,363","1,147","910","699","503","347","239","204","119","95","56","94"
"세종특별자치시  (3600000000)","391,984","391,984","2,883","2,754","3,051","3,377","3,693","3,915","4,336","4,738","5,140","5,638","5,858","5,593","5,782","5,864","5,863","5,336","5,243","5,273","4,771","4,071","3,672","3,643","3,353","3,226","3,417","3,626","3,604","3,723","3,987","4,385","4,782","5,239","5,638","5,954","5,875","5,914","5,948","6,090","6,334","6,498","6,750","7,055","7,904","8,761","8,620","8,472","7,982","7,273","7,235","6,666","6,963","7,199","6,646","6,287","6,476","5,636","5,642","5,096","4,511","4,167","4,427","3,873","4,248","4,022","4,820","4,216","3,802","3,422","3,343","3,108","3,164","2,468","2,090","2,201","1,608","1,812","1,757","1,489","1,441","1,002","1,055","1,086","1,088","1,111","921","778","732","630","534","499","443","361","278","201","154","103","89","77","43","17","43"
"경기도  (4100000000)","13,720,015","13,720,015","74,730","71,699","74,651","79,135","83,030","87,157","94,400","101,528","111,543","125,874","130,439","127,726","132,414","138,777","140,663","130,025","129,622","137,986","134,796","125,361","121,942","130,859","129,542","138,738","162,184","173,322","171,281","179,121","184,716","191,476","194,251","199,694","204,992","206,255","193,089","187,855","183,908","179,819","180,563","186,600","188,750","199,765","220,536","239,022","241,376","240,008","223,608","212,330","212,964","211,090","223,032","242,304","243,348","243,794","256,587","241,208","249,243","232,288","217,001","212,703","215,908","195,981","216,047","199,796","229,038","212,809","189,176","174,142","163,758","148,074","149,920","118,700","108,368","110,499","77,493","85,648","84,580","83,690","82,426","58,787","62,321","57,714","59,607","60,795","48,411","41,716","38,691","33,111","28,502","23,796","19,690","15,109","11,689","8,929","6,161","4,996","3,788","2,648","1,761","995","2,025"
